brid	AVERAGE
Brahy.S05G0182300	-2.387112957
Brahy.S08G0211100	-4.649550855
Brahy.S01G0105800	-1.65897666
Brahy.D02G0279100	-1.669409073
Brahy.D01G0488800	-1.698478009
Brahy.S02G0276900	-2.973844346
Brahy.S02G0016800	-2.323246185
Brahy.D04G0541500	-1.404859943
Brahy.D01G0450600	3.112790738
Brahy.D01G0488700	2.005959401
Brahy.D01G0144900	-1.984090874
Brahy.D02G0714100	-3.00674255
Brahy.D05G0195900	2.142816381
Brahy.S02G0138100	-1.588407492
Brahy.D01G0337600	-4.605321687
Brahy.D03G0406300	-1.848869727
Brahy.D05G0196000	2.504101979
Brahy.S01G0061800	-3.142474207
Brahy.D02G0750200	-1.854839522
Brahy.S03G0015800	1.602983457
Brahy.S06G0087100	-2.697147309
Brahy.S07G0034500	-2.107180796
Brahy.S01G0179500	-1.437643151
Brahy.S01G0096700	-1.743383256
Brahy.D03G0405500	-1.890511294
Brahy.D04G0008300	-3.401931747
Brahy.D04G0604400	-1.86582571
Brahy.S01G0113700	-1.689367339
Brahy.D05G0362300	-2.150147119
Brahy.D01G0458800	-3.546185178
Brahy.S03G0022100	-2.36346518
Brahy.D01G0688800	-1.458351219
Brahy.D02G0141800	-3.792934997
Brahy.S01G0134100	-3.333489225
Brahy.S09G0147100	-2.266942433
Brahy.D05G0336000	3.07548922
Brahy.D04G0114600	-2.216857369
Brahy.S01G0438300	-2.901693607
Brahy.S01G0240300	-1.412523731
Brahy.S04G0106700	-2.630947548
Brahy.D01G0775700	1.65456614
Brahy.S05G0134600	2.740663239
Brahy.S06G0179800	-2.768835021
Brahy.S09G0119500	-2.777318511
Brahy.D01G0943900	-1.517962134
Brahy.S07G0232600	1.923651995
Brahy.D01G0552200	-2.237186904
Brahy.S04G0284400	-2.465140512
Brahy.S03G0281100	0.160261749
Brahy.D01G0332400	-3.038807766
Brahy.S03G0278100	-2.701458898
Brahy.S01G0373100	2.762260586
Brahy.D04G0408700	-1.568505948
Brahy.D03G0722500	-1.876382124
Brahy.D04G0206500	-2.685713637
Brahy.D01G0664800	-2.75096663
Brahy.D01G0613500	-1.73334011
Brahy.D03G0735400	-2.057102365
Brahy.S08G0026100	-2.208924603
Brahy.D01G0616700	-1.634984885
Brahy.D04G0553000	-1.462309772
Brahy.D01G0493700	-1.661682363
Brahy.D02G0044200	-1.534838425
Brahy.S03G0042900	-1.70517062
Brahy.S05G0105700	-3.092958458
Brahy.S01G0112500	-2.528907673
Brahy.D01G0477900	1.590486397
Brahy.D05G0234600	-2.486436277
Brahy.D03G0431600	-1.816983244
Brahy.D05G0110200	-1.557092955
Brahy.D01G0076300	-2.16772958
Brahy.D03G0044200	1.598804884
Brahy.S06G0063000	-3.436311859
Brahy.D02G0718000	-1.589585689
Brahy.D03G0075500	-1.843536304
Brahy.D01G0029500	2.929877116
Brahy.S05G0120900	-1.522833277
Brahy.D04G0273000	-3.504312685
Brahy.S08G0045300	2.514143317
Brahy.D03G0584500	-2.515198678
Brahy.D04G0556400	-1.902265148
Brahy.S02G0334600	-2.482834143
Brahy.S03G0207300	1.935686059
Brahy.S02G0168500	-1.556773895
Brahy.D01G0170400	2.434316171
Brahy.D01G0249200	1.808146996
Brahy.D01G1058000	-3.119058071
Brahy.D04G0345200	-2.326312038
Brahy.S04G0317400	1.092665482
Brahy.S05G0253100	-1.788243739
Brahy.D05G0014300	-1.685657737
Brahy.S08G0201100	-3.521837772
Brahy.D02G0648100	-1.672527805
Brahy.S04G0194400	3.120088184
Brahy.S02G0182600	-3.840652168
Brahy.D02G0016400	-1.976143354
Brahy.D03G0426100	-2.142554943
Brahy.S02G0342400	2.24425738
Brahy.D03G0462600	-1.657126132
Brahy.D04G0347700	-2.695874924
Brahy.D03G0548700	-2.421733731
Brahy.S01G0301500	-2.63766784
Brahy.D03G0435000	3.225978079
Brahy.D04G0615800	-2.007262949
Brahy.S08G0052000	-2.024768566
Brahy.D01G0233200	-1.951465775
Brahy.S01G0102900	-1.893033584
Brahy.D04G0242000	-2.465206755
Brahy.D03G0806500	-2.659021634
Brahy.S02G0205600	-2.519500287
Brahy.S05G0119800	1.681215837
Brahy.D05G0010200	1.48587009
Brahy.S01G0072400	-3.15959705
Brahy.D05G0188000	1.955902696
Brahy.D01G0149300	2.801085699
Brahy.D05G0155800	-2.521005841
Brahy.S03G0005300	-2.589133225
Brahy.S05G0139400	-2.358545272
Brahy.D01G0940000	-1.64542535
Brahy.S02G0400600	-2.886768153
Brahy.S06G0148000	-2.014377878
Brahy.D01G0149800	2.058996929
Brahy.D05G0252000	-6.19349156
Brahy.D02G0539300	-2.082440288
Brahy.S07G0003000	0.686352749
Brahy.S06G0207700	-2.179508023
Brahy.D01G0843900	-2.034879123
Brahy.D02G0296500	2.229545457
Brahy.D04G0618400	-1.399307189
Brahy.S01G0141100	-1.814565883
Brahy.S06G0103000	-3.029334234
Brahy.D03G0279400	2.811779846
Brahy.S04G0087000	-5.146607283
Brahy.D03G0539300	-2.399271067
Brahy.S08G0021700	-2.344222295
Brahy.D01G0880900	-1.907255796
Brahy.D01G0221600	-1.54393241
