brid	AVERAGE
Brast04G132200	-1.569310613
Brast04G296200	-1.588417711
Brast01G099500	-1.256378729
Brast01G410400	-1.13677801
Brast04G118600	-1.49930806
Brast01G302100	-1.355719184
Brast09G234800	1.870031814
Brast09G185700	-2.0975641
Brast01G334600	-2.130755309
Brast06G007000	1.679568207
Brast09G257000	1.651498695
Brast05G269400	-3.726979214
Brast04G256700	1.789903
Brast07G045500	-2.248590456
Brast02G069200	-2.802004952
Brast03G178800	-2.433274308
Brast01G279100	-1.285834005
Brast05G011400	1.932132416
Brast09G263300	-2.564883211
Brast02G358800	-1.286637605
Brast05G153800	-1.289298474
Brast07G105900	2.357377993
Brast05G171700	-2.291599338
Brast03G255700	-2.043448867
Brast10G199900	-2.560766863
Brast09G032800	-3.438890437
Brast04G089200	-2.521930142
Brast08G075900	-2.239616521
Brast01G368900	-4.356109489
Brast05G300800	1.280325409
Brast04G264600	1.266614451
Brast03G267400	-1.508172223
Brast01G246000	-1.643134362
Brast08G068800	1.633630318
Brast04G273700	-1.256709119
Brast08G078100	1.32387712
Brast01G168500	-1.190011652
Brast05G137800	-1.749381616
Brast03G014500	1.616472791
Brast04G100800	-2.823620799
Brast07G026000	-2.509666963
Brast03G117100	-1.604117049
Brast01G050600	-1.848455926
Brast03G034800	-1.802653781
Brast05G141500	1.959836011
Brast01G077700	2.188003688
Brast04G108800	2.816402182
Brast03G225600	2.220687683
Brast01G247700	1.544898585
Brast04G157500	-1.670657601
Brast08G098200	-2.546958089
Brast01G341500	-2.228260184
Brast01G008000	-1.582253635
Brast06G069700	-1.830012073
Brast10G154200	-1.255194241
Brast06G242300	1.701458631
Brast03G248700	-1.551210829
Brast05G068700	1.347628578
Brast07G244900	1.643821836
Brast01G351500	1.306352106
Brast02G114300	1.591037197
Brast09G190500	-2.450558508
Brast02G372600	-1.641955319
Brast02G058600	1.792956099
Brast03G115000	1.581683239
Brast01G155300	-2.127478216
Brast09G144100	2.116859698
Brast01G390900	1.507890059
Brast05G196100	1.4330129
Brast01G107200	-1.496767232
Brast05G054900	-1.417610209
Brast02G305700	-2.51460091
Brast05G162800	-1.968682793
Brast02G080500	-2.2047955
Brast04G273500	-1.949308532
Brast02G016900	-3.023701459
Brast06G194500	-1.497759843
Brast05G153300	-3.910993524
Brast01G273800	-1.375251631
Brast03G263500	-2.917710994
Brast01G113600	1.187397338
Brast08G245200	-2.931722782
Brast05G296200	1.602611664
Brast01G121700	-1.989550399
Brast05G106900	1.326163728
Brast10G116900	1.734500141
Brast03G290700	2.306784563
Brast04G282200	-1.153952307
Brast08G173700	-1.616035643
Brast07G177200	-2.11398942
Brast02G117600	-2.349433714
Brast03G164500	-1.433326703
Brast04G080700	-1.853836534
Brast07G044600	-2.26351719
Brast01G245900	2.043106504
Brast01G273600	-1.320395556
Brast07G166100	1.18205301
Brast08G115400	-1.564005162
Brast08G247100	2.467337434
Brast02G378300	1.35543855
Brast05G108800	-3.092651766
Brast10G126200	-2.071368118
Brast06G062500	-1.364620679
Brast08G035400	-3.077574998
Brast04G200000	-1.601384236
Brast05G148800	2.252647808
Brast08G099300	1.452371118
Brast06G044100	-2.299323744
Brast07G086200	-2.493627163
Brast08G137200	-1.448293088
Brast02G321100	1.261718734
Brast05G172500	-1.8578598
Brast02G343700	-1.269047116
Brast06G013300	2.202677023
Brast01G391300	2.200197708
Brast09G170500	1.828116694
Brast01G371900	-1.349626047
Brast07G017100	2.333230554
Brast07G175000	1.936485448
