bhdid	bsid
Brahy.D01G0041500	Brast02G361900
Brahy.D01G0041600	Brast02G361800
Brahy.D01G0041800	Brast02G361700
Brahy.D01G0041900	Brast02G361500
Brahy.D01G0042100	Brast02G361400
Brahy.D01G0042200	Brast02G361300
Brahy.D01G0042300	Brast02G361200
Brahy.D01G0042400	Brast02G361100
Brahy.D01G0042500	Brast02G361000
Brahy.D01G0042600	Brast02G360900
Brahy.D01G0042800	Brast02G360800
Brahy.D01G0042900	Brast02G360600
Brahy.D01G0043100	Brast02G360500
Brahy.D01G0043200	Brast02G360400
Brahy.D01G0043300	Brast02G360300
Brahy.D01G0043400	Brast02G360200
Brahy.D01G0043500	Brast02G360100
Brahy.D01G0043600	Brast02G360000
Brahy.D01G0043700	Brast02G359900
Brahy.D01G0043800	Brast02G359800
Brahy.D01G0043900	Brast02G359700
Brahy.D01G0044400	Brast02G359600
Brahy.D01G0044500	Brast02G359500
Brahy.D01G0044600	Brast02G359400
Brahy.D01G0044700	Brast02G359300
Brahy.D01G0044800	Brast02G359200
Brahy.D01G0044900	Brast02G358900
Brahy.D01G0045000	Brast02G358800
Brahy.D01G0045100	Brast02G358700
Brahy.D01G0045200	Brast02G358600
Brahy.D01G0045300	Brast02G358400
Brahy.D01G0045700	Brast02G358100
Brahy.D01G0045800	Brast02G358000
Brahy.D01G0046000	Brast02G357900
Brahy.D01G0046100	Brast02G357800
Brahy.D01G0046200	Brast02G357700
Brahy.D01G0046400	Brast02G357600
Brahy.D01G0046500	Brast02G357400
Brahy.D01G0046800	Brast02G357300
Brahy.D01G0046900	Brast02G357200
Brahy.D01G0047100	Brast02G357100
Brahy.D01G0047200	Brast02G357000
Brahy.D01G0047300	Brast02G356900
Brahy.D01G0047400	Brast02G356800
Brahy.D01G0047500	Brast02G356700
Brahy.D01G0047600	Brast02G356600
Brahy.D01G0047700	Brast02G356500
Brahy.D01G0047900	Brast02G356400
Brahy.D01G0048000	Brast02G356300
Brahy.D01G0048100	Brast02G356200
Brahy.D01G0048300	Brast02G356100
Brahy.D01G0048400	Brast02G356000
Brahy.D01G0048500	Brast02G355900
Brahy.D01G0048600	Brast02G355800
Brahy.D01G0048900	Brast02G355700
Brahy.D01G0049100	Brast02G355600
Brahy.D01G0049300	Brast02G355300
Brahy.D01G0049500	Brast02G355100
Brahy.D01G0049600	Brast02G355000
Brahy.D01G0049700	Brast02G354900
Brahy.D01G0049900	Brast02G354700
Brahy.D01G0050000	Brast02G354600
Brahy.D01G0050100	Brast02G354500
Brahy.D01G0050200	Brast02G354400
Brahy.D01G0050300	Brast02G354300
Brahy.D01G0050400	Brast02G354200
Brahy.D01G0050800	Brast02G354000
Brahy.D01G0050900	Brast02G353900
Brahy.D01G0051100	Brast02G353700
Brahy.D01G0051200	Brast02G353600
Brahy.D01G0051300	Brast02G353500
Brahy.D01G0051400	Brast02G353400
Brahy.D01G0051800	Brast02G353300
Brahy.D01G0051900	Brast02G353200
Brahy.D01G0052000	Brast02G353100
Brahy.D01G0052200	Brast02G353000
Brahy.D01G0052300	Brast02G352900
Brahy.D01G0052400	Brast02G352700
Brahy.D01G0052500	Brast02G352600
Brahy.D01G0052700	Brast02G352500
Brahy.D01G0052800	Brast02G352400
Brahy.D01G0052900	Brast02G352300
Brahy.D01G0053000	Brast02G352100
Brahy.D01G0053100	Brast02G352000
Brahy.D01G0053200	Brast02G351900
Brahy.D01G0053400	Brast02G351800
Brahy.D01G0053500	Brast02G351700
Brahy.D01G0053600	Brast02G351600
Brahy.D01G0053900	Brast02G351300
Brahy.D01G0054100	Brast02G350800
Brahy.D01G0054200	Brast02G350700
Brahy.D01G0054600	Brast02G350300
Brahy.D01G0054800	Brast02G350200
Brahy.D01G0055100	Brast02G350000
Brahy.D01G0055200	Brast02G349900
Brahy.D01G0055300	Brast02G349800
Brahy.D01G0055400	Brast02G349700
Brahy.D01G0055800	Brast02G349500
Brahy.D01G0056000	Brast02G349300
Brahy.D01G0056100	Brast02G349200
Brahy.D01G0056200	Brast02G349100
Brahy.D01G0056300	Brast02G349000
Brahy.D01G0056400	Brast02G348900
Brahy.D01G0056500	Brast02G348700
Brahy.D01G0056700	Brast02G348600
Brahy.D01G0056800	Brast02G348500
Brahy.D01G0056900	Brast02G348400
Brahy.D01G0057000	Brast02G348300
Brahy.D01G0057100	Brast02G348200
Brahy.D01G0057200	Brast02G348100
Brahy.D01G0057400	Brast02G348000
Brahy.D01G0057500	Brast02G347900
Brahy.D01G0057600	Brast02G347800
Brahy.D01G0057800	Brast02G347600
Brahy.D01G0057900	Brast02G347500
Brahy.D01G0058200	Brast02G347100
Brahy.D01G0058300	Brast02G347000
Brahy.D01G0058400	Brast02G346900
Brahy.D01G0058600	Brast02G346800
Brahy.D01G0058700	Brast02G346700
Brahy.D01G0058900	Brast02G346000
Brahy.D01G0059300	Brast02G345800
Brahy.D01G0059400	Brast02G345700
Brahy.D01G0059500	Brast02G345600
Brahy.D01G0059600	Brast02G345500
Brahy.D01G0059800	Brast02G345300
Brahy.D01G0059900	Brast02G345200
Brahy.D01G0060000	Brast02G345100
Brahy.D01G0060100	Brast02G345000
Brahy.D01G0060300	Brast02G344900
Brahy.D01G0060400	Brast02G344800
Brahy.D01G0060500	Brast02G344700
Brahy.D01G0060600	Brast02G344600
Brahy.D01G0060700	Brast02G344500
Brahy.D01G0060800	Brast02G344400
Brahy.D01G0060900	Brast02G344300
Brahy.D01G0061000	Brast02G344200
Brahy.D01G0061100	Brast02G344100
Brahy.D01G0061400	Brast02G344000
Brahy.D01G0061500	Brast02G343900
Brahy.D01G0061600	Brast02G343800
Brahy.D01G0061700	Brast02G343700
Brahy.D01G0061800	Brast02G343600
Brahy.D01G0061900	Brast02G343500
Brahy.D01G0063000	Brast02G343400
Brahy.D01G0063200	Brast02G343300
Brahy.D01G0063300	Brast02G343200
Brahy.D01G0063400	Brast02G343100
Brahy.D01G0063500	Brast02G343000
Brahy.D01G0063900	Brast02G342900
Brahy.D01G0064100	Brast02G342800
Brahy.D01G0064200	Brast02G342700
Brahy.D01G0064400	Brast02G342600
Brahy.D01G0064500	Brast02G342500
Brahy.D01G0064600	Brast02G342400
Brahy.D01G0064700	Brast02G342300
Brahy.D01G0064800	Brast02G342100
Brahy.D01G0064900	Brast02G342000
Brahy.D01G0065000	Brast02G341900
Brahy.D01G0065200	Brast02G341700
Brahy.D01G0065300	Brast02G341600
Brahy.D01G0065400	Brast02G341500
Brahy.D01G0065500	Brast02G341400
Brahy.D01G0065600	Brast02G341300
Brahy.D01G0065700	Brast02G341200
Brahy.D01G0065800	Brast02G341100
Brahy.D01G0065900	Brast02G341000
Brahy.D01G0066000	Brast02G340900
Brahy.D01G0066100	Brast02G340800
Brahy.D01G0066200	Brast02G340700
Brahy.D01G0066400	Brast02G340500
Brahy.D01G0066500	Brast02G340300
Brahy.D01G0066600	Brast02G340200
Brahy.D01G0066700	Brast02G340100
Brahy.D01G0066800	Brast02G340000
Brahy.D01G0066900	Brast02G339900
Brahy.D01G0067200	Brast02G339700
Brahy.D01G0067300	Brast02G339600
Brahy.D01G0067400	Brast02G339500
Brahy.D01G0067500	Brast02G339400
Brahy.D01G0067600	Brast02G339300
Brahy.D01G0067700	Brast02G339200
Brahy.D01G0067900	Brast02G339100
Brahy.D01G0068000	Brast02G339000
Brahy.D01G0069700	Brast02G338700
Brahy.D01G0069800	Brast02G338600
Brahy.D01G0070100	Brast02G338400
Brahy.D01G0070400	Brast02G338200
Brahy.D01G0070500	Brast02G338100
Brahy.D01G0070600	Brast02G338000
Brahy.D01G0070700	Brast02G337800
Brahy.D01G0071000	Brast02G337700
Brahy.D01G0071200	Brast02G337400
Brahy.D01G0071300	Brast02G337300
Brahy.D01G0071500	Brast02G337200
Brahy.D01G0071800	Brast02G337000
Brahy.D01G0072000	Brast02G336900
Brahy.D01G0072200	Brast02G336800
Brahy.D01G0072400	Brast02G336700
Brahy.D01G0072500	Brast02G336600
Brahy.D01G0072600	Brast02G336400
Brahy.D01G0072700	Brast02G336300
Brahy.D01G0073000	Brast02G336000
Brahy.D01G0073100	Brast02G335900
Brahy.D01G0073200	Brast02G335800
Brahy.D01G0073300	Brast02G335700
Brahy.D01G0073400	Brast02G335600
Brahy.D01G0073500	Brast02G335500
Brahy.D01G0073600	Brast02G335400
Brahy.D01G0073800	Brast02G335300
Brahy.D01G0073900	Brast02G335100
Brahy.D01G0074000	Brast02G335000
Brahy.D01G0074200	Brast02G334900
Brahy.D01G0074500	Brast02G334400
Brahy.D01G0075000	Brast02G334200
Brahy.D01G0075200	Brast02G334000
Brahy.D01G0075400	Brast02G333900
Brahy.D01G0075500	Brast02G333800
Brahy.D01G0075600	Brast02G333700
Brahy.D01G0075700	Brast02G333600
Brahy.D01G0076000	Brast02G333500
Brahy.D01G0076100	Brast02G333300
Brahy.D01G0076300	Brast02G333200
Brahy.D01G0076400	Brast02G333100
Brahy.D01G0076500	Brast02G333000
Brahy.D01G0076600	Brast02G332900
Brahy.D01G0076700	Brast02G332800
Brahy.D01G0076800	Brast02G332700
Brahy.D01G0077000	Brast02G332600
Brahy.D01G0077100	Brast02G332400
Brahy.D01G0077200	Brast02G332300
Brahy.D01G0077400	Brast02G332100
Brahy.D01G0077600	Brast02G332000
Brahy.D01G0077700	Brast02G331900
Brahy.D01G0077900	Brast02G331800
Brahy.D01G0078300	Brast02G331500
Brahy.D01G0078400	Brast02G331400
Brahy.D01G0078600	Brast02G331300
Brahy.D01G0078700	Brast02G331200
Brahy.D01G0078800	Brast02G331100
Brahy.D01G0079000	Brast02G331000
Brahy.D01G0079100	Brast02G330900
Brahy.D01G0079200	Brast02G330800
Brahy.D01G0079500	Brast02G330700
Brahy.D01G0079600	Brast02G330600
Brahy.D01G0079700	Brast02G330500
Brahy.D01G0079800	Brast02G330400
Brahy.D01G0080000	Brast02G330200
Brahy.D01G0080100	Brast02G330000
Brahy.D01G0080200	Brast02G329900
Brahy.D01G0080300	Brast02G329800
Brahy.D01G0080500	Brast02G329600
Brahy.D01G0080600	Brast02G329500
Brahy.D01G0080700	Brast02G329400
Brahy.D01G0081200	Brast02G329100
Brahy.D01G0081300	Brast02G329000
Brahy.D01G0081400	Brast02G328900
Brahy.D01G0081500	Brast02G328800
Brahy.D01G0081800	Brast02G328700
Brahy.D01G0082000	Brast02G328400
Brahy.D01G0082100	Brast02G328300
Brahy.D01G0082300	Brast02G328200
Brahy.D01G0082600	Brast02G328100
Brahy.D01G0082800	Brast02G327900
Brahy.D01G0082900	Brast02G327800
Brahy.D01G0083000	Brast02G327700
Brahy.D01G0083100	Brast02G327600
Brahy.D01G0083200	Brast02G327500
Brahy.D01G0083300	Brast02G327400
Brahy.D01G0083400	Brast02G327300
Brahy.D01G0083600	Brast02G327200
Brahy.D01G0083700	Brast02G327100
Brahy.D01G0083800	Brast02G327000
Brahy.D01G0084300	Brast02G326500
Brahy.D01G0084900	Brast02G326300
Brahy.D01G0085700	Brast02G326100
Brahy.D01G0085800	Brast02G326000
Brahy.D01G0086100	Brast02G325900
Brahy.D01G0086200	Brast02G325800
Brahy.D01G0086300	Brast02G325700
Brahy.D01G0086400	Brast02G325600
Brahy.D01G0086500	Brast02G325500
Brahy.D01G0086600	Brast02G325400
Brahy.D01G0086700	Brast02G325300
Brahy.D01G0086900	Brast02G325200
Brahy.D01G0087200	Brast02G324900
Brahy.D01G0087300	Brast02G324800
Brahy.D01G0087400	Brast02G324700
Brahy.D01G0087500	Brast02G324600
Brahy.D01G0087900	Brast02G324500
Brahy.D01G0088000	Brast02G324400
Brahy.D01G0088300	Brast02G324300
Brahy.D01G0088400	Brast02G324200
Brahy.D01G0088500	Brast02G324100
Brahy.D01G0088700	Brast02G323900
Brahy.D01G0088900	Brast02G323700
Brahy.D01G0089000	Brast02G323600
Brahy.D01G0089200	Brast02G323500
Brahy.D01G0089300	Brast02G323400
Brahy.D01G0089400	Brast02G323200
Brahy.D01G0089500	Brast02G323100
Brahy.D01G0089700	Brast02G322900
Brahy.D01G0089900	Brast02G322700
Brahy.D01G0090100	Brast02G322500
Brahy.D01G0090300	Brast02G322400
Brahy.D01G0090400	Brast02G322300
Brahy.D01G0090500	Brast02G322200
Brahy.D01G0090800	Brast02G322000
