	bhsid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
723	Brahy.S02G0218200	0.007619737	0.005798576	1.314070473	Brast02G207500			
724	Brahy.S02G0218600	0.002991845	0.003382765	0.9169870415	Brast02G207800			
725	Brahy.S02G0220700	0.01459359	0.017785121	0.820550476	Brast02G209600			
726	Brahy.S02G0233800	0.013211229	0.0070243124999999	1.8815897965	Brast02G220200			
727	Brahy.S02G0234200	0.000275815	0.000859613	0.3208600219999999	Brast02G220400			
728	Brahy.S02G0237600	0.001471773	0.002386508	0.616931551	Brast02G223900	0.000135883	0.0011280469999999	0.261527801
729	Brahy.S02G0241100	0.000991682	0.002655007	0.373513738	Brast02G227300	0.001182631	0.002769549	0.427012049
730	Brahy.S02G0246900	0.0047026425	0.011654926	0.364781002	Brast02G232600	0.001132987	0.002210236	0.512609104
731	Brahy.S02G0252900	0.002234901	0.002738341	0.8161517	Brast02G238100			
732	Brahy.S02G0253800	0.0054406535	0.005220987	1.062435928	Brast02G239000			
733	Brahy.S02G0254200	0.006131091	0.0217020169999999	0.2892568035	Brast02G239400			
734	Brahy.S02G0258800	0.000245043	0.000320511	0.764539202	Brast02G243100			
735	Brahy.S02G0269100	0.0002098065	0.0008083365	0.263534523	Brast02G252800	0.001715804	0.000379892	4.164986489
736	Brahy.S02G0270200	0.000328881	0.000367231	0.895569702	Brast02G253900			
737	Brahy.S02G0278900	0.001550314	0.0026309239999999	0.5921212425	Brast02G261600			
738	Brahy.S02G0284300	0.005380918	0.005220387	1.030750793	Brast02G266100			
739	Brahy.S02G0285500	0.002614047	0.002411358	1.084056193	Brast02G267300	0.000146896	0.000386392	0.380174728
740	Brahy.S02G0287300	0.002161966	0.0016197899999999	1.4709462555	Brast02G268800	5.86e-05	0.000182718	0.320703342
741	Brahy.S02G0290400	0.003191974	0.003780925	0.844231208	Brast02G271400			
742	Brahy.S02G0292100	0.0013172095	0.0033898065	0.3905214425	Brast02G273000			
743	Brahy.S02G0292300	0.000827463	0.001364447	0.606445191	Brast02G273200			
744	Brahy.S02G0292800	0.011696462	0.012843157	0.910715538	Brast02G273600			
745	Brahy.S02G0299000	0.0015387225	0.0021631405	0.735954871	Brast02G279400			
746	Brahy.S02G0299500	0.022934594	0.023606947	0.971518822	Brast02G279800			
747	Brahy.S02G0301700	0.0086938505	0.0119719754999999	0.731460939	Brast02G281800			
748	Brahy.S02G0304800	0.0039112535	0.0054025494999999	0.727200501	Brast02G284400	0.0007660964999999	0.000804835	0.5664994560000001
749	Brahy.S02G0306400	0.0003626535	0.0004166184999999	0.664802363				
750	Brahy.S02G0310700	0.002974665	0.000955138	3.11438327	Brast02G290000			
751	Brahy.S02G0322400	0.001427125	0.002748111	0.519311253	Brast02G300400	0.010384766	0.014070497	0.738052546
752	Brahy.S02G0330900	0.001458137	0.002401907	0.565245977	Brast02G308200			
753	Brahy.S02G0335000	0.005188523	0.001473373	3.521527876	Brast02G311800			
754	Brahy.S02G0341200	0.0011705465	0.001573006	0.8176897885000001	Brast02G317600			
755	Brahy.S02G0344200	0.001867346	0.003512104	0.531688669	Brast02G320600			
756	Brahy.S02G0345500	0.0030034535	0.0050441935	0.5720085305	Brast02G321800			
757	Brahy.S02G0355800	0.000917131	0.005720123	0.160334098	Brast02G331200			
758	Brahy.S02G0362500	0.001113652	0.002473301	0.4920085054999999	Brast02G337500			
759	Brahy.S02G0371400	2.025e-05	0.000431792	0.157107687	Brast02G345800			
760	Brahy.S02G0371800	0.000951394	0.000338379	2.811626103				
