bhsid	bsid
Brahy.S01G0042500	Brast01G039200
Brahy.S01G0042600	Brast01G039300
Brahy.S01G0042700	Brast01G039400
Brahy.S01G0042800	Brast01G039500
Brahy.S01G0042900	Brast01G039600
Brahy.S01G0043000	Brast01G039700
Brahy.S01G0043100	Brast01G039800
Brahy.S01G0043300	Brast01G039900
Brahy.S01G0043400	Brast01G040000
Brahy.S01G0043500	Brast01G040100
Brahy.S01G0043600	Brast01G040200
Brahy.S01G0043900	Brast01G040500
Brahy.S01G0044000	Brast01G040600
Brahy.S01G0044100	Brast01G040700
Brahy.S01G0044200	Brast01G040800
Brahy.S01G0044300	Brast01G040900
Brahy.S01G0044500	Brast01G041000
Brahy.S01G0044600	Brast01G041100
Brahy.S01G0044700	Brast01G041300
Brahy.S01G0044800	Brast01G041400
Brahy.S01G0044900	Brast01G041500
Brahy.S01G0045000	Brast01G041600
Brahy.S01G0045100	Brast01G041700
Brahy.S01G0045200	Brast01G041800
Brahy.S01G0045300	Brast01G041900
Brahy.S01G0045400	Brast01G042000
Brahy.S01G0045500	Brast01G042100
Brahy.S01G0045600	Brast01G042200
Brahy.S01G0045700	Brast01G042300
Brahy.S01G0045800	Brast01G042400
Brahy.S01G0045900	Brast01G042500
Brahy.S01G0046000	Brast01G042600
Brahy.S01G0046100	Brast01G042700
Brahy.S01G0046200	Brast01G042800
Brahy.S01G0046300	Brast01G042900
Brahy.S01G0046400	Brast01G043000
Brahy.S01G0046500	Brast01G043100
Brahy.S01G0046600	Brast01G043200
Brahy.S01G0046800	Brast01G043300
Brahy.S01G0046900	Brast01G043400
Brahy.S01G0047000	Brast01G043500
Brahy.S01G0047100	Brast01G043600
Brahy.S01G0047200	Brast01G043700
Brahy.S01G0047300	Brast01G043800
Brahy.S01G0047500	Brast01G044000
Brahy.S01G0047600	Brast01G044100
Brahy.S01G0047700	Brast01G044200
Brahy.S01G0048000	Brast01G044300
Brahy.S01G0048100	Brast01G044400
Brahy.S01G0048200	Brast01G044500
Brahy.S01G0048300	Brast01G044600
Brahy.S01G0048400	Brast01G044700
Brahy.S01G0048500	Brast01G044800
Brahy.S01G0048600	Brast01G044900
Brahy.S01G0048700	Brast01G045000
Brahy.S01G0048800	Brast01G045100
Brahy.S01G0049000	Brast01G045200
Brahy.S01G0049100	Brast01G045300
Brahy.S01G0049200	Brast01G045400
Brahy.S01G0049300	Brast01G045500
Brahy.S01G0049400	Brast01G045600
Brahy.S01G0049600	Brast01G045700
Brahy.S01G0049800	Brast01G045800
Brahy.S01G0049900	Brast01G045900
Brahy.S01G0050000	Brast01G046000
Brahy.S01G0050100	Brast01G046100
Brahy.S01G0050200	Brast01G046200
Brahy.S01G0050400	Brast01G046400
Brahy.S01G0050500	Brast01G046500
Brahy.S01G0050600	Brast01G046600
Brahy.S01G0050700	Brast01G046700
Brahy.S01G0050800	Brast01G046800
Brahy.S01G0050900	Brast01G046900
Brahy.S01G0051000	Brast01G047000
Brahy.S01G0051100	Brast01G047100
Brahy.S01G0051200	Brast01G047200
Brahy.S01G0051300	Brast01G047300
Brahy.S01G0051400	Brast01G047400
Brahy.S01G0051600	Brast01G047600
Brahy.S01G0051700	Brast01G047700
Brahy.S01G0051800	Brast01G047800
Brahy.S01G0051900	Brast01G047900
Brahy.S01G0052000	Brast01G048000
Brahy.S01G0052100	Brast01G048100
Brahy.S01G0052200	Brast01G048200
Brahy.S01G0052300	Brast01G048300
Brahy.S01G0052400	Brast01G048400
Brahy.S01G0052500	Brast01G048500
Brahy.S01G0052600	Brast01G048600
Brahy.S01G0052700	Brast01G048700
Brahy.S01G0052800	Brast01G048800
Brahy.S01G0053000	Brast01G049000
Brahy.S01G0053200	Brast01G049200
Brahy.S01G0053300	Brast01G049300
Brahy.S01G0053400	Brast01G049400
