	bhdid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
538	Brahy.D05G0333700	4.26e-05	0.000576369	0.073831358	Brast09G245700			
539	Brahy.D05G0334300	0.001020975	0.0013165445	1.02016898975	Brast09G246400	0.0013837993333333	0.0030816496666666	0.4834430059999999
540	Brahy.D05G0342800	0.0003292296666666	0.0005195193333333	0.616290245	Brast09G253300			
541	Brahy.D05G0346300	0.000674266	0.0010097035	0.552043224	Brast09G256200	0.000233198	0.000670131	0.347987874
542	Brahy.D05G0346600	0.0007644675	0.001935491	0.381866183	Brast09G256500			
543	Brahy.D05G0348500	0.000722679	0.001575447	0.45871351	Brast09G258400	0.000125218	0.000173665	0.721030247
544	Brahy.D05G0351100	0.000979188	0.003293703	0.297291001	Brast09G260000			
545	Brahy.D05G0354100	4.19e-05	0.000365832	0.114434809	Brast09G262400			
546	Brahy.D05G0356700	0.001561116	0.002195516	0.711047154	Brast09G264000			
547	Brahy.D05G0360400	0.001096161	0.00330329	0.331839005	Brast09G265600			
548	Brahy.D05G0364600	0.000460822	0.000182984	2.518372191	Brast09G268700			
549	Brahy.D05G0365500	0.0006086864	0.0012181154	0.8420079035999999	Brast09G269600	0.0002722745	0.000289005	1.042682929
550	Brahy.S01G0002000	3.91e-05	0.000144885	0.270098768				
551	Brahy.S01G0002100	0.00634626	0.008836708	0.71817018				
552	Brahy.S01G0007300	0.003940338	0.004407283	0.894051381				
553	Brahy.S01G0008700	0.000140981	0.000392514	0.359173651				
554	Brahy.S01G0029600	0.002209246	0.002587145	0.853932229				
555	Brahy.S01G0034200	0.003445171	0.005181008	0.66496158				
556	Brahy.S01G0035400	0.004261515	0.011890918	0.358384006				
557	Brahy.S01G0040800	0.001984649	0.006680886	0.297063687				
558	Brahy.S01G0044800	0.002800802	0.004036135	0.693931681				
559	Brahy.S01G0048000	0.000787916	0.001281479	0.614848838				
