nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC1BG047280	NA	black
TRIDC4BG025690	NA	blue
TRIDC1BG014180	NA	turquoise
TRIDC2BG035450	NA	blue
TRIDC6BG054890	NA	red
TRIDC3BG067930	NA	turquoise
TRIDC7BG043120	NA	turquoise
TRIDC6BG058010	NA	turquoise
TRIDC6AG042860	NA	turquoise
TRIDC3BG062400	NA	blue
TRIDC7AG046600	NA	turquoise
TRIDC5BG081360	NA	turquoise
TRIDC3AG016220	NA	turquoise
TRIDC2BG076730	NA	turquoise
TRIDC7AG016490	NA	turquoise
TRIDC4AG045690	NA	red
TRIDC5BG031640	NA	turquoise
TRIDC1BG051530	NA	turquoise
TRIDC1BG017930	NA	turquoise
TRIDC3BG044900	NA	turquoise
TRIDC2BG046150	NA	turquoise
TRIDC2AG006310	NA	turquoise
TRIDC5BG082940	NA	turquoise
TRIDC7BG025300	NA	turquoise
TRIDC6AG054050	NA	blue
TRIDC7BG022630	NA	red
TRIDC4BG026530	NA	black
TRIDC4AG010410	NA	turquoise
TRIDC3AG025980	NA	turquoise
TRIDC5BG060090	NA	turquoise
TRIDC3BG012530	NA	turquoise
TRIDC2AG069210	NA	turquoise
TRIDC2AG039310	NA	turquoise
TRIDC3BG041930	NA	turquoise
TRIDC3BG036010	NA	turquoise
TRIDC7BG011110	NA	turquoise
TRIDC1BG043520	NA	turquoise
TRIDC5BG057270	NA	turquoise
TRIDC1AG035350	NA	turquoise
TRIDC6BG050410	NA	turquoise
TRIDC2BG033480	NA	turquoise
TRIDC2BG014940	NA	turquoise
TRIDC2AG058960	NA	turquoise
TRIDC4BG004800	NA	turquoise
TRIDC1BG018270	NA	turquoise
TRIDC3AG036420	NA	turquoise
TRIDC5AG066990	NA	turquoise
TRIDC2AG035560	NA	turquoise
TRIDC3AG025180	NA	turquoise
TRIDC7BG039290	NA	turquoise
TRIDC3BG047130	NA	turquoise
TRIDC1BG010580	NA	turquoise
TRIDC4AG006210	NA	turquoise
TRIDC5AG070060	NA	blue
TRIDC6AG013650	NA	blue
TRIDC4AG003980	NA	turquoise
TRIDC1BG071020	NA	turquoise
TRIDC1BG021120	NA	turquoise
TRIDC5AG061650	NA	turquoise
TRIDC7AG030920	NA	turquoise
TRIDC7BG040710	NA	turquoise
TRIDC6BG027250	NA	brown
TRIDC1BG041610	NA	turquoise
TRIDC2AG012560	NA	turquoise
TRIDC3BG053280	NA	red
TRIDC5AG077720	NA	turquoise
TRIDC1BG064080	NA	turquoise
TRIDC3AG019710	NA	turquoise
TRIDC2AG014100	NA	red
TRIDC4AG001060	NA	turquoise
TRIDC2BG024340	NA	green
TRIDC2BG020810	NA	turquoise
TRIDC2BG052320	NA	turquoise
TRIDC3AG017690	NA	turquoise
TRIDC3BG045590	NA	turquoise
TRIDC6BG017100	NA	brown
TRIDC5BG035290	NA	turquoise
TRIDC7AG068270	NA	turquoise
TRIDC1BG000530	NA	turquoise
TRIDC6AG054910	NA	turquoise
TRIDC7BG058240	NA	turquoise
TRIDC7BG011710	NA	turquoise
TRIDC2BG024650	NA	turquoise
TRIDC3BG057190	NA	turquoise
TRIDC2AG050030	NA	turquoise
TRIDC7BG007940	NA	blue
TRIDC1BG067230	NA	blue
TRIDC5BG051380	NA	turquoise
TRIDC6BG018440	NA	brown
TRIDC3AG074100	NA	black
TRIDC1BG054620	NA	turquoise
TRIDC5BG028010	NA	turquoise
TRIDC2BG077720	NA	turquoise
TRIDC4AG040740	NA	turquoise
TRIDC5AG077090	NA	brown
TRIDC5AG072570	NA	turquoise
TRIDC1BG027840	NA	turquoise
TRIDC4BG045580	NA	turquoise
TRIDC5AG058600	NA	turquoise
TRIDC5AG048850	NA	turquoise
TRIDC4AG016130	NA	blue
TRIDC5AG013700	NA	turquoise
TRIDC4BG029570	NA	turquoise
TRIDC2AG029090	NA	turquoise
TRIDC3AG026740	NA	turquoise
TRIDC2AG029890	NA	blue
TRIDC2AG069660	NA	blue
TRIDC4AG013560	NA	turquoise
TRIDC4AG048680	NA	turquoise
TRIDC4AG017560	NA	turquoise
TRIDC4BG031710	NA	turquoise
TRIDC4BG029320	NA	turquoise
TRIDC2BG041590	NA	turquoise
TRIDC3BG047010	NA	turquoise
TRIDC7AG032640	NA	turquoise
TRIDC1BG041590	NA	turquoise
TRIDC4AG016740	NA	brown
TRIDC6AG059630	NA	turquoise
TRIDC4AG019580	NA	turquoise
TRIDC1BG040080	NA	turquoise
TRIDC5AG032710	NA	turquoise
TRIDC7AG071620	NA	brown
TRIDC4BG031800	NA	turquoise
TRIDC6AG037400	NA	turquoise
TRIDC4BG034820	NA	turquoise
TRIDC6AG033840	NA	turquoise
TRIDC1AG048450	NA	turquoise
TRIDC1AG057760	NA	turquoise
TRIDC5AG044960	NA	green
TRIDC4AG011130	NA	turquoise
TRIDC6AG049860	NA	turquoise
TRIDC3BG069850	NA	red
TRIDC7AG054100	NA	turquoise
TRIDC5AG009690	NA	turquoise
TRIDC7BG022550	NA	blue
TRIDC1AG040850	NA	turquoise
TRIDC3AG008900	NA	turquoise
TRIDC3AG037790	NA	turquoise
TRIDC7AG004730	NA	turquoise
TRIDC3BG069150	NA	green
TRIDC4AG031200	NA	turquoise
TRIDC5BG067410	NA	turquoise
TRIDC4BG031720	NA	turquoise
TRIDC6AG048320	NA	turquoise
TRIDC2BG087370	NA	green
TRIDC2AG019600	NA	brown
TRIDC5AG027970	NA	turquoise
TRIDC1BG054950	NA	turquoise
TRIDC2AG051040	NA	turquoise
TRIDC4BG041650	NA	turquoise
TRIDC4AG005340	NA	turquoise
TRIDC6BG033370	NA	yellow
TRIDC1AG018650	NA	turquoise
TRIDC4BG009600	NA	blue
TRIDC7AG029960	NA	black
TRIDC6BG052730	NA	turquoise
TRIDC3BG070880	NA	turquoise
TRIDC6AG020100	NA	turquoise
TRIDC5BG065210	NA	turquoise
