"MM.blue"	"MM.pink"	"MM.purple"	"MM.black"	"MM.brown"	"MM.magenta"	"MM.green"	"MM.red"	"MM.turquoise"	"MM.yellow"	"MM.grey"
"TRIDC1AG038130"	-0.821591677569559	-0.575023613642089	-0.512096031784974	0.424193754120261	-0.359672818257617	-0.0777124155827301	0.469356066024589	0.781470625416772	0.887959970586694	0.47696254247418	-0.102702020250842
"TRIDC5BG070780"	-0.849221696884428	-0.612770529244221	-0.52891273947276	0.505291156234412	-0.201086833915848	0.150003178917866	0.567306088778952	0.564945291411551	0.789166036269314	0.297549425772349	-0.274122156488366
"TRIDC7AG047050"	-0.667166743392423	-0.514477460173595	-0.373830431790199	0.0953085568464102	-0.682413209295578	-0.296735560153791	0.598269551641656	0.53984150872569	0.934354718066754	0.647882134888246	0.24143620619959
"TRIDC3AG034200"	-0.842288300637072	-0.610186985968377	-0.49136768073326	0.361732270608338	-0.427840858713685	-0.033871065614173	0.471235880825663	0.449795555036761	0.90632864984149	0.46857523715394	-0.0835509563444882
"TRIDC7AG048010"	-0.784641367119379	-0.524162253621462	-0.457750314359646	0.54225663419485	-0.103633762527386	0.186202451301201	0.819534145323558	0.502883074262753	0.724112361205321	0.279031308483208	-0.238950866575278
"TRIDC3AG026770"	0.0121654418274459	-0.18530650742906	-0.336222448932883	-0.0799941338113322	-0.0832245033312448	-0.0704817229348343	-0.174564501230102	-0.232528907120203	0.00651736467849873	0.0799514824907295	-0.0805764961558653
"TRIDC3AG023150"	-0.829001437242817	-0.6115361942731	-0.524952267878624	0.352540315193507	-0.500854960743201	-0.085202850958678	0.533981285393337	0.645036641764121	0.975353805785874	0.590990827623736	0.0167246385671523
"TRIDC7BG025950"	-0.647929298265192	-0.481977519985552	-0.35948716473812	0.0931753440866544	-0.569797620729915	-0.225098912171145	0.386771844931716	0.242858207026477	0.792346736378279	0.449447710062487	0.0937435805890699
"TRIDC7AG065720"	-0.740061972305376	-0.553714333237998	-0.486190225614693	0.306187588511786	-0.506578684622772	-0.147197767682782	0.519620152889292	0.763802848152002	0.933585158119468	0.650154002838013	0.0909455632720784
"TRIDC6BG051730"	-0.848177040962661	-0.62952813566396	-0.544094923451441	0.383093407992069	-0.467096730721529	-0.0719415319647839	0.547032657759405	0.604425106846771	0.970356531832592	0.55967330242387	-0.0275583202173598
"TRIDC2AG066330"	-0.738778681045672	-0.501268928385081	-0.450756619047232	0.322302469523551	-0.337822274063815	-0.0110687493239199	0.331005691099964	0.153452101765484	0.747737974978673	0.373572298315008	-0.144200417872344
"TRIDC5AG031110"	-0.862989031889844	-0.629797562064729	-0.552156354695307	0.437298229047746	-0.417084814640007	-0.0171856562677095	0.536210632031152	0.624298506157915	0.968070631907268	0.571703837245644	-0.0587132436612732
"TRIDC5AG036480"	0.870183043869919	0.411127762129746	0.272067684386333	-0.725632265768539	-0.0744385383523546	-0.326650428807652	-0.415035714580342	-0.52762728226648	-0.681833668049345	-0.148246278450091	0.401910411724411
"TRIDC3BG040800"	-0.80338773604613	-0.596024796989134	-0.522359501689358	0.321345378503807	-0.526010366842301	-0.155486178817165	0.586782152025147	0.627586971221448	0.980417192912731	0.619097060643632	0.0597384760203354
"TRIDC3BG026230"	-0.788242847645479	-0.586020392110098	-0.513162523651127	0.279782484786519	-0.519700138789169	-0.109081510942007	0.481366501287341	0.48863907369028	0.928925275367483	0.544789306861693	0.0172854410542641
"TRIDC1BG058900"	-0.77421325178532	-0.521681527707789	-0.452600060883415	0.345728734417765	-0.428214344908576	-0.144618152469622	0.45499856263846	0.516100463535235	0.875905942027193	0.512457023957679	-0.0242144160358801
"TRIDC3BG053370"	-0.679794588916135	-0.513744315492411	-0.447207739922783	0.237385388258606	-0.555054963361431	-0.211333325250637	0.498465184505662	0.766387049920919	0.917561936734138	0.680577489270378	0.175774387770543
"TRIDC5BG021830"	-0.857513280550988	-0.607694139984956	-0.533566427768338	0.45385311935395	-0.340578152304607	0.0924674474953974	0.498615598045742	0.401976264198337	0.894470425715026	0.49275233761961	-0.148666190305353
"TRIDC4AG041950"	-0.775139059768357	-0.562015927067578	-0.473223359773374	0.350760328594261	-0.391273270700801	0.00104085150372332	0.355236835821676	0.36347150869567	0.839838824328437	0.467340588209866	-0.0822805771067852
"TRIDC6BG054050"	-0.739405113802816	-0.548027076518963	-0.469012761451969	0.347174146496435	-0.322960086849977	0.0545337009279934	0.291035970418684	0.188345069501277	0.754982320189414	0.404705490047261	-0.160824804015436
"TRIDC7BG026840"	-0.713655796499462	-0.536938839164034	-0.439631226324469	0.295857361659303	-0.482062065370177	-0.168194002951659	0.300646615421548	0.762078416016148	0.879563575623535	0.581732857047914	0.0352216940860759
"TRIDC6BG048030"	-0.378495533490229	-0.349600098323608	-0.433500711489183	0.470397786326167	0.228356325787119	0.383025275089185	0.0929442035447004	-0.13745705887176	0.20339106181462	0.0820202365379358	-0.443840424556454
"TRIDC7AG004740"	-0.808522778324982	-0.518738344407882	-0.438801611469785	0.35098457149555	-0.390750241182194	0.0531175382542484	0.450228363539769	0.373883162352586	0.846055628787931	0.400191882905799	-0.0879151727557649
"TRIDC5AG020060"	-0.842780104685787	-0.594006836483382	-0.512438240934835	0.402626152810912	-0.429185101193153	-0.0737440364697474	0.487882097955787	0.775688446832904	0.941318213309864	0.523550332057276	-0.0529517079261821
"TRIDC1BG029200"	-0.614725460815202	-0.46725404350391	-0.379640029465067	0.189367441156672	-0.514257070892507	-0.149678157497121	0.623291593259597	0.568132147653358	0.834652467518059	0.577053990450074	0.176233365424452
"TRIDC3BG045410"	0.648933207149151	0.631866158961985	0.621535488523453	-0.104364060869317	0.689511482451252	0.343778734047871	-0.518390235278969	-0.559621177275127	-0.936833857209614	-0.719813810941298	-0.197974947222646
"TRIDC2AG047030"	-0.554930973858001	-0.282154908954381	-0.290705460013741	0.2690858166737	-0.294562613850612	-0.136145261865885	0.185664392445831	0.864336513839919	0.621857971207531	0.3275836473592	-0.0198914236782307
"TRIDC4BG028430"	-0.619713763651165	-0.460923874268237	-0.412801520884777	0.117340248936637	-0.596763133198362	-0.230808673375006	0.469910761619232	0.347455866229995	0.85663040202143	0.636621920090799	0.19677423879445
"TRIDC6BG066440"	0.496232018259828	0.46806507311264	0.868895402035433	-0.387251868873746	0.0294190494758733	-0.0653467325932292	-0.318723146964354	-0.207026021067855	-0.458149219903698	-0.207371063658516	0.247131154270816
"TRIDC6AG029410"	-0.867274972591505	-0.620546832141965	-0.544390395252701	0.436614748645386	-0.424145375881633	-0.0610002792172574	0.518970381377456	0.664463087298515	0.967546844566358	0.547663879159736	-0.0669763511678818
"TRIDC1AG016470"	-0.5904217386441	-0.463801165808069	-0.404739664294524	0.189242246471996	-0.38163886196614	-0.0224531751806914	0.458935590326994	0.111884935820637	0.682951293532643	0.423328090613332	-0.00495423265969192
"TRIDC7AG076360"	0.950688315080808	0.580569943457486	0.502596071666565	-0.746980732321499	-0.00444995632870799	-0.303358979198023	-0.444836479372178	-0.473248205259178	-0.783162655703831	-0.22937217138534	0.454648781035325
"TRIDC1BG062180"	-0.707871925066655	-0.574817292811015	-0.489889968109842	0.202487513300399	-0.624787685063822	-0.234113626034535	0.478290741856925	0.521209258393846	0.969766332931575	0.749961232445424	0.177456113864359
"TRIDC6BG067850"	0.637534896820383	0.330102983028648	0.399597363674358	-0.089643613610341	0.600092874615584	0.337775756569513	-0.467259753331268	-0.503384476453463	-0.81963741148964	-0.527234595686365	-0.180584299317139
"TRIDC5AG068340"	-0.770524591822891	-0.569831208984347	-0.487704756842215	0.267964280991175	-0.55473291798044	-0.132694949668609	0.560660845552367	0.520642646443009	0.957375692664778	0.625911067819942	0.099232903822764
