"","GeneName","PearsonCorrelation","p.Standard","q.Standard","moduleColors"
"5387","TRIDC4BG037290",0.737360430444006,5.84279731464458e-10,3.83162101064182e-10,"turquoise"
"5388","TRIDC5AG061580",-0.511429812980664,0.000213274816186837,3.55132952180209e-05,"blue"
"5389","TRIDC1BG022050",0.661307529029249,1.84770233271785e-07,5.52630415707196e-08,"turquoise"
"5390","TRIDC6BG042450",-0.733994723234761,7.92079791243872e-10,4.92604550271735e-10,"blue"
"5391","TRIDC3BG044920",0.0698661696089904,0.646312625303093,0.0644689336070916,"blue"
"5392","TRIDC3AG055710",0.671770485937193,9.42314941243192e-08,3.04903050704455e-08,"turquoise"
"5393","TRIDC1AG061840",0.0416534890981443,0.784623902021485,0.0768708761265172,"yellow"
"5394","TRIDC3AG027060",0.769491072814709,2.34824947629413e-11,2.87312484745538e-11,"turquoise"
"5395","TRIDC5AG048590",-0.685944035605475,3.58997499631197e-08,1.30009661473809e-08,"brown"
"5396","TRIDC1AG010860",0.653090477581924,3.06853287701214e-07,8.65549588304653e-08,"turquoise"
"5397","TRIDC5AG010370",0.776917199204314,1.02004828089471e-11,1.50845884027283e-11,"turquoise"
"5398","TRIDC4BG021370",0.131628880463624,0.385292637397392,0.0400874807560487,"yellow"
"5399","TRIDC7BG027640",-0.287456053226872,0.0524245507606834,0.00625896317583749,"blue"
"5400","TRIDC3AG075690",0.0787508294962283,0.604824449533178,0.0606911907578927,"grey"
"5401","TRIDC3BG084410",0.271751587667879,0.0675626205139042,0.0079394863222197,"yellow"
"5402","TRIDC5AG027040",-0.791762955881864,1.70483402553487e-12,3.60081591538149e-12,"turquoise"
"5403","TRIDC7BG015080",0.514468603278978,0.000191637780037849,3.21577329462858e-05,"turquoise"
"5404","TRIDC4BG008820",-0.0831246838187703,0.58482833132942,0.0588513252827112,"grey"
"5405","TRIDC1BG015210",0.390716812303033,0.00681197849809569,0.000916428395723706,"yellow"
