nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC4AG040740	NA	blue
TRIDC7AG004730	NA	blue
TRIDC2BG033850	NA	turquoise
TRIDC2AG057570	NA	turquoise
TRIDC1BG051910	NA	blue
TRIDC7AG031280	NA	turquoise
TRIDC5BG016420	NA	turquoise
TRIDC3AG035830	NA	turquoise
TRIDC3AG010340	NA	brown
TRIDC3BG033830	NA	blue
TRIDC2BG015990	NA	blue
TRIDC1AG061930	NA	turquoise
TRIDC7AG076360	NA	turquoise
TRIDC3BG059470	NA	turquoise
TRIDC1BG020140	NA	turquoise
TRIDC1BG073180	NA	turquoise
TRIDC5AG016610	NA	blue
TRIDC1BG069520	NA	turquoise
TRIDC6AG017640	NA	turquoise
TRIDC5BG041090	NA	brown
TRIDC2AG051280	NA	turquoise
TRIDC4BG007370	NA	turquoise
TRIDC7BG039290	NA	turquoise
TRIDC6BG027250	NA	blue
TRIDC5AG066990	NA	blue
TRIDC2AG035190	NA	turquoise
TRIDC6AG014010	NA	turquoise
TRIDC6BG015220	NA	blue
TRIDC6BG066720	NA	turquoise
TRIDC7BG022960	NA	turquoise
TRIDC2AG054870	NA	turquoise
TRIDC5AG032710	NA	blue
TRIDC6AG029410	NA	blue
TRIDC7AG072610	NA	blue
TRIDC4BG045580	NA	turquoise
TRIDC4AG005310	NA	blue
TRIDC7BG038120	NA	blue
TRIDC3AG009900	NA	turquoise
TRIDC3AG072090	NA	blue
TRIDC7BG011110	NA	turquoise
TRIDC1AG011100	NA	blue
TRIDC2BG035450	NA	turquoise
TRIDC2BG038810	NA	blue
TRIDC7AG046600	NA	blue
TRIDC4AG033090	NA	turquoise
TRIDC3BG049160	NA	blue
TRIDC2AG050030	NA	blue
TRIDC7BG022550	NA	turquoise
TRIDC4AG037880	NA	blue
TRIDC7BG051490	NA	blue
TRIDC3BG066720	NA	blue
TRIDC2AG073360	NA	grey
TRIDC5AG048850	NA	blue
TRIDC4AG042630	NA	blue
TRIDC5BG005090	NA	blue
TRIDC4BG005820	NA	blue
TRIDC4AG036090	NA	blue
TRIDC4AG016130	NA	turquoise
TRIDC7AG074870	NA	blue
TRIDC7BG001050	NA	blue
TRIDC5BG022310	NA	turquoise
TRIDC5AG070060	NA	turquoise
TRIDC2AG077550	NA	blue
TRIDC4AG016740	NA	blue
TRIDC5AG062020	NA	turquoise
TRIDC1BG017930	NA	blue
TRIDC1BG039490	NA	blue
TRIDC7BG023760	NA	blue
TRIDC3AG019710	NA	blue
TRIDC5AG025330	NA	blue
TRIDC2BG061370	NA	turquoise
TRIDC1BG048700	NA	blue
TRIDC1BG052800	NA	turquoise
TRIDC3AG029900	NA	turquoise
TRIDC2AG041820	NA	blue
TRIDC3AG030720	NA	green
